prompt_id,p_hat,bucket,base,grpo,opd,rlopd,agopd
fa47c422-2169-47d3-b37c-ef1739daab44,0.0,hard(p=0),False,True,True,True,True
893048e2-7268-4ae2-b6cb-411e13eb5bcb,0.25,.25-.5,False,False,False,False,True
472d9ebd-1e06-4f3c-9ba5-db12079a2cd8,0.125,.125-.25,False,True,True,True,True
45c5390a-971e-440b-be63-5433dad6e467,0.0,hard(p=0),False,False,False,False,False
2cc7affb-b4d6-4b27-8a2b-5a153e24b67b,0.0,hard(p=0),False,False,False,False,False
3f2e0028-64bc-4585-945c-4ffe45e4abb3,0.125,.125-.25,False,False,False,True,False
1e6be188-ddac-4ae3-b8e7-55aaa93ff498,0.0,hard(p=0),False,False,False,False,False
bfd67f90-526a-4ef1-9112-16aad2c62157,0.25,.25-.5,False,True,False,False,True
472e388a-b810-4085-aa7d-dbff8ea30c65,0.375,.25-.5,False,True,True,True,False
476716ae-a874-45b2-8af7-dc2c7459a4a4,0.0,hard(p=0),False,False,True,True,False
d1eeed6f-2ae2-4d6a-8101-fe9ae3f7bbb4,0.0,hard(p=0),False,False,False,False,False
9e57832d-9116-460a-b355-f58bd058289f,0.0,hard(p=0),False,False,False,False,False
a2bd335d-b7af-454e-829c-cf29b92b9f3f,0.125,.125-.25,True,False,False,False,True
1a8c4881-0516-4bde-a4ae-c6c01de391fd,0.375,.25-.5,False,True,True,False,True
d0457089-612b-4252-a168-72b71604db4b,0.0,hard(p=0),False,False,False,False,False
7315d266-b89b-41d4-8e95-bf1eb46dea3e,0.0,hard(p=0),False,False,False,False,False
7325212e-6dad-4570-b240-573da46cbc98,0.125,.125-.25,False,True,False,False,False
8cbb39f9-9976-40a5-a069-b5c324dc5ad6,0.0,hard(p=0),False,False,False,False,False
1f757d5d-bfdf-48fd-8e02-0efba80f611a,0.0,hard(p=0),False,False,False,False,False
780c5415-4d24-4c69-8104-56dd2cbe8e87,0.0,hard(p=0),False,False,False,False,False
8b93765d-f0f2-4b15-bf2e-9c6e09e799fb,0.0,hard(p=0),False,False,False,False,False
bd11dc0e-bfa6-4150-aba4-a567f92862c1,0.125,.125-.25,False,False,True,False,False
16b41f71-546a-4d93-bdbc-8163a083e3c5,0.75,easy(>.75),False,False,False,False,True
0b1be676-146b-43c8-9254-1e702793c0a9,0.0,hard(p=0),False,False,False,False,False
71b9c96e-2e7b-4f98-a03a-9bded9ceabbf,0.0,hard(p=0),False,False,False,False,False
7b41d873-ed25-4145-9b1f-1866d160d520,0.125,.125-.25,False,False,False,False,False
8c70bf27-75b2-488f-a838-173bdfd2ec21,0.375,.25-.5,True,True,True,True,True
f03c8b8e-ba9a-4569-8c22-a11e561c9772,0.0,hard(p=0),True,False,False,True,False
271c63bb-8e58-4f41-a578-567283c213df,0.0,hard(p=0),False,False,False,False,True
d583dd64-9b9e-408b-9f6b-adc7990d1976,0.0,hard(p=0),False,False,False,False,False
4527db9e-77ca-4277-bcc2-8b965c3b7211,0.625,.5-.75,True,True,True,False,False
b4803db4-3c1a-47e7-b156-dd548ccbf993,0.0,hard(p=0),False,False,False,False,False
f675d370-a420-4225-96b8-195f5253a35c,0.0,hard(p=0),False,True,False,False,False
8c3f743a-f064-4338-9b51-6e417952b854,0.125,.125-.25,False,False,False,False,False
4733ccd7-8091-4d81-953c-7d73c2609ea8,0.5,.5-.75,False,False,True,False,True
ca505ca6-2d6b-47a1-add7-61093aa3c7f4,0.25,.25-.5,True,False,False,True,False
830a83e0-a916-4485-8880-6a2142cf5e55,0.0,hard(p=0),False,False,False,False,False
9a870ac3-7bd7-4f53-b80b-b993c7cfa709,0.0,hard(p=0),False,False,False,False,False
3374243d-ba55-4364-8b19-25d1c84fdca2,0.125,.125-.25,False,True,False,False,False
93d07483-b4d3-406c-8953-f30b698a7d5c,0.0,hard(p=0),False,False,False,False,False
4ba05816-f579-4438-92b2-39818f26bd43,0.5,.5-.75,False,True,True,False,False
8fb5107d-11e7-4f7d-a938-0335be0a710e,0.0,hard(p=0),False,False,False,False,False
4d11e755-2c8f-46b6-b9fb-e80b4b933ff3,0.0,hard(p=0),False,False,False,False,False
775cd03a-13cd-4dc9-ba03-27c7c33d0596,0.0,hard(p=0),False,False,False,False,False
443f6bf8-b0b5-474d-bf26-7cfee9353946,0.0,hard(p=0),False,False,False,False,False
e928b70e-f40c-426d-95be-adbb3cf968ce,0.0,hard(p=0),False,False,False,False,False
eb15b67c-6712-40d3-a62b-9c98a16327e4,0.0,hard(p=0),False,False,False,False,False
c0b13fd6-6972-4d80-9122-861f468685f4,0.875,easy(>.75),True,False,True,True,True
9eb00afd-0a8f-4852-ba50-9177c64645b6,0.25,.25-.5,True,True,True,True,True
e9441dbe-378a-4638-9aad-20209e57efef,0.125,.125-.25,True,True,True,True,True
8dcb1b97-cf12-448d-a5e5-f1301d12c5a2,0.0,hard(p=0),False,False,False,False,False
cdc9cd97-d75e-46ae-9043-48e39eb87cc7,0.0,hard(p=0),False,False,False,False,False
e701d427-54d0-4ea0-9feb-b7b3584cc877,0.0,hard(p=0),False,False,False,False,False
d5a17182-b7df-4620-b9e1-ada7eefa3336,0.0,hard(p=0),False,False,False,False,False
66d1d761-43c4-46ef-85d0-bc72e77312e1,0.125,.125-.25,False,False,False,False,False
c4ffe3cd-56e0-49a8-8536-d5ba94b40d69,0.0,hard(p=0),False,False,False,False,False
d2db4614-5c6b-45bd-b41d-216dd3fe5b88,0.0,hard(p=0),False,False,False,False,False
b162f132-63cf-4e3e-9758-8e6abe8ae688,0.125,.125-.25,False,False,False,True,True
40108f1c-c540-45c0-a10e-44648baf7fe3,0.0,hard(p=0),False,False,False,False,False
304d070f-2f75-4792-b2a6-070d5ecca329,0.0,hard(p=0),True,False,False,False,False
fee4b142-f611-42c9-af7f-12f7e8ec993e,0.25,.25-.5,False,False,False,False,False
1a400162-1b9e-4fbe-8b89-71ffe2f2d993,0.0,hard(p=0),False,False,False,False,False
39fd0404-f3df-4adb-9cba-006f00cc3420,0.25,.25-.5,True,False,False,False,True
91248b4c-fbdd-4f48-b12e-db323d5dbf0d,0.625,.5-.75,True,False,True,False,False
ed2a045d-f03b-413e-8205-ed3b997d583c,0.375,.25-.5,False,False,True,True,False
c3f17c63-bad9-4b3a-b0d6-73d6c6914bf6,0.5,.5-.75,False,True,False,False,False
53816d0b-89da-49d1-aee5-15757d3007bf,0.0,hard(p=0),False,False,False,False,False
8d25ba94-9bf1-4fb8-bf82-9fb69788b136,0.0,hard(p=0),False,False,False,False,False
87c2bf19-841d-4598-ad2c-4415301880ce,0.125,.125-.25,False,False,False,False,False
ab7cfc85-1808-4e84-ade3-05a90fd1d8b0,0.0,hard(p=0),False,False,False,False,False
